Time;latitude;longitude;extT;rh;pluv;radN;wdir_ana;wsp_ana
07-Jul-2024 00:00:00;37.1358223;14.49643517;19.5;80.15;0;0;97.7445;0.185
07-Jul-2024 01:00:00;37.1358223;14.49643517;19.5;74.65;0;0;94.569;0.245
07-Jul-2024 02:00:00;37.1358223;14.49643517;19;71.35;0;0;98.832;0.24
07-Jul-2024 03:00:00;37.1358223;14.49643517;18.85;71.3;0;2.9275;122.3655;0.1
07-Jul-2024 04:00:00;37.1358223;14.49643517;20.15;69.15;0;82.6915;186.789;0.165
07-Jul-2024 05:00:00;37.1358223;14.49643517;23.85;60.75;0;271.4885;241.425;0.11
07-Jul-2024 06:00:00;37.1358223;14.49643517;28.15;46.45;0;511.8975;163.821;0.585
07-Jul-2024 07:00:00;37.1358223;14.49643517;30.7;42.3;0;716.8015;116.7975;0.11
07-Jul-2024 08:00:00;37.1358223;14.49643517;31.8;38.15;0;889.0195;178.3935;1.03
07-Jul-2024 09:00:00;37.1358223;14.49643517;33.65;34.7;0;1004.426;157.296;0.89
07-Jul-2024 10:00:00;37.1358223;14.49643517;33.1;36.5;0;1057.691;171.2595;1.49
07-Jul-2024 11:00:00;37.1358223;14.49643517;34.1;35.9;0;986.576;174.4785;0.6
07-Jul-2024 12:00:00;37.1358223;14.49643517;36.15;33.25;0;983.4635;213.1935;0.78
07-Jul-2024 13:00:00;37.1358223;14.49643517;33.3;38.4;0;856.338;177.915;0.815
07-Jul-2024 14:00:00;37.1358223;14.49643517;31.7;41.75;0;768;162.0375;1.26
07-Jul-2024 15:00:00;37.1358223;14.49643517;30.6;44.95;0;491.614;180.96;1.165
07-Jul-2024 16:00:00;37.1358223;14.49643517;28.4;55;0;261.836;172.0425;0.97
07-Jul-2024 17:00:00;37.1358223;14.49643517;26.15;64.05;0;68.529;193.8795;0.65
07-Jul-2024 18:00:00;37.1358223;14.49643517;24.25;79.25;0;2.0465;129.804;0.335
07-Jul-2024 19:00:00;37.1358223;14.49643517;22.65;84.1;0;0;118.7985;0.42
07-Jul-2024 20:00:00;37.1358223;14.49643517;21.75;84.5;0;0;86.478;0.265
07-Jul-2024 21:00:00;37.1358223;14.49643517;21.4;84.95;0;0;50.4165;0.1
07-Jul-2024 22:00:00;37.1358223;14.49643517;21.2;77;0;0;63.162;0.275
07-Jul-2024 23:00:00;37.1358223;14.49643517;20.9;68.4;0;0;85.086;0.255
08-Jul-2024 00:00:00;37.1358223;14.49643517;20.95;63.55;0;0;89.871;0.17
08-Jul-2024 01:00:00;37.1358223;14.49643517;21;63.3;0;0;72.8625;0.21
08-Jul-2024 02:00:00;37.1358223;14.49643517;21.45;63.1;0;0.0005;98.397;0.1
08-Jul-2024 03:00:00;37.1358223;14.49643517;22.2;63.25;0;4.6445;63.423;0.1
08-Jul-2024 04:00:00;37.1358223;14.49643517;23.8;60;0;113.9605;71.5575;0.1
08-Jul-2024 05:00:00;37.1358223;14.49643517;28.9;48.9;0;337.8395;112.839;0.105
08-Jul-2024 06:00:00;37.1358223;14.49643517;32.7;40.05;0;556.2755;147.639;0.245
08-Jul-2024 07:00:00;37.1358223;14.49643517;34.45;36.4;0;739.373;170.085;0.69
08-Jul-2024 08:00:00;37.1358223;14.49643517;35.6;33.6;0;896.4035;166.866;0.745
08-Jul-2024 09:00:00;37.1358223;14.49643517;38.5;24.35;0;1003.9105;230.811;0.645
08-Jul-2024 10:00:00;37.1358223;14.49643517;39.15;26.1;0;1057.7865;192.3135;1.86
08-Jul-2024 11:00:00;37.1358223;14.49643517;34.05;39.65;0;1061.7;176.0445;2.025
08-Jul-2024 12:00:00;37.1358223;14.49643517;34.95;37.9;0;988.9125;163.995;1.575
08-Jul-2024 13:00:00;37.1358223;14.49643517;35.05;33.2;0;867.352;242.295;1.075
08-Jul-2024 14:00:00;37.1358223;14.49643517;35.25;30.15;0;698.5905;170.781;1.44
08-Jul-2024 15:00:00;37.1358223;14.49643517;34.55;27.2;0;503.4245;201.579;0.525
08-Jul-2024 16:00:00;37.1358223;14.49643517;33.75;30.35;0;256.7225;192.879;0.725
08-Jul-2024 17:00:00;37.1358223;14.49643517;30.15;41.1;0;64.887;176.4795;0.23
08-Jul-2024 18:00:00;37.1358223;14.49643517;27.4;43.9;0;1.796;150.423;0.215
08-Jul-2024 19:00:00;37.1358223;14.49643517;25.6;46.9;0;0;94.569;0.2
08-Jul-2024 20:00:00;37.1358223;14.49643517;24.55;48.75;0;0;107.88;0.295
08-Jul-2024 21:00:00;37.1358223;14.49643517;24.75;48.1;0;0;74.037;0.24
08-Jul-2024 22:00:00;37.1358223;14.49643517;24.15;48.05;0;0;116.1015;0.355
08-Jul-2024 23:00:00;37.1358223;14.49643517;23.5;46.1;0;0;118.32;0.315
09-Jul-2024 00:00:00;37.1358223;14.49643517;22.8;47.15;0;0;115.797;0.485
09-Jul-2024 01:00:00;37.1358223;14.49643517;22.9;45.4;0;0;242.208;0.175
09-Jul-2024 02:00:00;37.1358223;14.49643517;23;46.7;0;0.0005;103.617;0.335
09-Jul-2024 03:00:00;37.1358223;14.49643517;22.95;46;0;5.1875;108.7065;0.355
09-Jul-2024 04:00:00;37.1358223;14.49643517;24.9;42.75;0;107.265;144.681;0.105
09-Jul-2024 05:00:00;37.1358223;14.49643517;30.25;34.3;0;334.3985;33.843;0.465
09-Jul-2024 06:00:00;37.1358223;14.49643517;34.85;28.95;0;396.709;257.0415;0.56
09-Jul-2024 07:00:00;37.1358223;14.49643517;37.2;29.15;0;729.764;116.145;0.645
09-Jul-2024 08:00:00;37.1358223;14.49643517;37.95;29.35;0;873.682;161.733;1.06
09-Jul-2024 09:00:00;37.1358223;14.49643517;37.25;31.25;0;988.6085;179.655;1.49
09-Jul-2024 10:00:00;37.1358223;14.49643517;37.15;32.55;0;1038.695;175.044;0.535
09-Jul-2024 11:00:00;37.1358223;14.49643517;36.7;35.3;0;1039.4845;168.867;1.67
09-Jul-2024 12:00:00;37.1358223;14.49643517;35.9;38.75;0;962.593;166.083;1.185
09-Jul-2024 13:00:00;37.1358223;14.49643517;35.05;43.15;0;836.6865;176.436;1.065
09-Jul-2024 14:00:00;37.1358223;14.49643517;33.8;43.55;0;678.485;172.3035;0.94
09-Jul-2024 15:00:00;37.1358223;14.49643517;33.4;40.95;0;500.3195;170.9115;1.085
09-Jul-2024 16:00:00;37.1358223;14.49643517;31.95;44.05;0;253.726;227.2005;0.77
09-Jul-2024 17:00:00;37.1358223;14.49643517;29.65;49.5;0;62.657;159.036;0.325
09-Jul-2024 18:00:00;37.1358223;14.49643517;27.35;57.5;0;1.7835;178.437;0.315
09-Jul-2024 19:00:00;37.1358223;14.49643517;25.3;63.05;0;0;89.4795;0.1
09-Jul-2024 20:00:00;37.1358223;14.49643517;24.4;66.5;0;0;91.8285;0.29
09-Jul-2024 21:00:00;37.1358223;14.49643517;23.7;66.5;0;0;126.324;0.19
09-Jul-2024 22:00:00;37.1358223;14.49643517;23.3;69.1;0;0;89.3055;0.1
09-Jul-2024 23:00:00;37.1358223;14.49643517;23;67.9;0;0;158.514;0.19
10-Jul-2024 00:00:00;37.1358223;14.49643517;23.15;66;0;0;106.7055;0.1
10-Jul-2024 01:00:00;37.1358223;14.49643517;25.35;56.6;0;0;211.2795;0.255
10-Jul-2024 02:00:00;37.1358223;14.49643517;23.2;63.25;0;0.0005;185.5275;0.325
10-Jul-2024 03:00:00;37.1358223;14.49643517;24.2;60.85;0;5.7075;161.907;0.235
10-Jul-2024 04:00:00;37.1358223;14.49643517;25.85;56.6;0;164.1675;118.7985;1.085
10-Jul-2024 05:00:00;37.1358223;14.49643517;29.2;52.15;0;406.46;153.9465;0.18
10-Jul-2024 06:00:00;37.1358223;14.49643517;33.3;37.35;0;606.7225;95.091;0.81
10-Jul-2024 07:00:00;37.1358223;14.49643517;36;32.05;0;788.533;45.8925;0.27
10-Jul-2024 08:00:00;37.1358223;14.49643517;38;29.15;0;935.9245;178.4805;1.015
10-Jul-2024 09:00:00;37.1358223;14.49643517;38.15;32.25;0;1032.2265;133.719;0.72
10-Jul-2024 10:00:00;37.1358223;14.49643517;38;31.5;0;1074.656;177.6105;1.355
10-Jul-2024 11:00:00;37.1358223;14.49643517;37.25;32.5;0;1090.243;183.657;1.285
10-Jul-2024 12:00:00;37.1358223;14.49643517;37.7;32.2;0;1010.518;196.098;0.78
10-Jul-2024 13:00:00;37.1358223;14.49643517;36.3;35.3;0;885.7345;175.9575;1.185
10-Jul-2024 14:00:00;37.1358223;14.49643517;34.85;39.25;0;722.105;222.72;0.66
10-Jul-2024 15:00:00;37.1358223;14.49643517;34.5;39.65;0;537.2335;195.6195;0.98
10-Jul-2024 16:00:00;37.1358223;14.49643517;33.6;42.6;0;386.964;218.805;1.23
10-Jul-2024 17:00:00;37.1358223;14.49643517;30.66666667;47.8;0;74.21866667;223.764;0.51
10-Jul-2024 18:00:00;37.1358223;14.49643517;28.1;53.4;0;3.303;149.64;0.13
10-Jul-2024 19:00:00;37.1358223;14.49643517;25.7;59.2;0;0.006333333;97.73;0.103333333
10-Jul-2024 20:00:00;37.1358223;14.49643517;24.6;60.5;0;0;132.501;0.1
10-Jul-2024 21:00:00;37.1358223;14.49643517;23.86666667;62;0;0;101.123;0.103333333
10-Jul-2024 22:00:00;37.1358223;14.49643517;23.1;64.3;0;0;118.9725;0.1
10-Jul-2024 23:00:00;37.1358223;14.49643517;22.7;62.7;0;0;114.318;0.23
11-Jul-2024 00:00:00;37.1358223;14.49643517;22.45;63.4;0;0;124.1055;0.1
11-Jul-2024 01:00:00;37.1358223;14.49643517;21.95;63.75;0;0;129.282;0.25
11-Jul-2024 02:00:00;37.1358223;14.49643517;21.8;63.05;0;0;100.2675;0.1
11-Jul-2024 03:00:00;37.1358223;14.49643517;22.15;61.6;0;0.189;106.836;0.315
11-Jul-2024 04:00:00;37.1358223;14.49643517;24.55;55.65;0;64.146;20.2275;0.22
11-Jul-2024 05:00:00;37.1358223;14.49643517;29.2;43.4;0;302.1035;158.688;0.73
11-Jul-2024 06:00:00;37.1358223;14.49643517;32.35;37.3;0;510.728;97.0485;0.62
11-Jul-2024 07:00:00;37.1358223;14.49643517;35;34.8;0;697.4665;18.6615;0.595
11-Jul-2024 08:00:00;37.1358223;14.49643517;37.1;32.5;0;860.561;83.955;0.905
11-Jul-2024 09:00:00;37.1358223;14.49643517;37.85;31.55;0;982.0195;151.032;0.315
11-Jul-2024 10:00:00;37.1358223;14.49643517;37.95;31.9;0;1065.624;216.108;1.005
11-Jul-2024 11:00:00;37.1358223;14.49643517;36.75;34.1;0;1059.2225;161.646;1.545
11-Jul-2024 12:00:00;37.1358223;14.49643517;36.65;33.35;0;1042.3365;189.834;1.27
11-Jul-2024 13:00:00;37.1358223;14.49643517;36.5;33.95;0;938.199;207.843;1.035
11-Jul-2024 14:00:00;37.1358223;14.49643517;36.35;33.65;0;795.574;208.365;1.405
11-Jul-2024 15:00:00;37.1358223;14.49643517;35.4;35.1;0;619.1805;181.83;0.73
11-Jul-2024 16:00:00;37.1358223;14.49643517;33.7;36.65;0;422.171;172.347;1.74
11-Jul-2024 17:00:00;37.1358223;14.49643517;31.6;37.4;0;114.696;197.7945;0.82
11-Jul-2024 18:00:00;37.1358223;14.49643517;29.7;39.9;0;15.0845;170.9985;0.52
11-Jul-2024 19:00:00;37.1358223;14.49643517;26.9;44.3;0;0.007;100.7895;0.24
11-Jul-2024 20:00:00;37.1358223;14.49643517;25.75;46.45;0;0;116.493;0.22
11-Jul-2024 21:00:00;37.1358223;14.49643517;24.35;51.05;0;0;176.4795;0.105
11-Jul-2024 22:00:00;37.1358223;14.49643517;23.7;52.15;0;0;82.998;0.185
