Time;latitude;longitude;T aria (°C);Umidità aria (%);pioggia (count);pioggia (mm);radiazione globale(W/m2);direzone vento (gradi);velocità vento (m/sec)
03/04/2025 07:00;37.6180191;14.97113609;14.45;74.1;0;0;628.824;70.4265;NaN
03/04/2025 08:00;37.6180191;14.97113609;15.7;72.55;0;0;787.717;95.004;NaN
03/04/2025 09:00;37.6180191;14.97113609;17.5;64.9;0;0;1034.4165;180.786;NaN
03/04/2025 10:00;37.6180191;14.97113609;15.55;71.15;0;0;316.352;119.9295;NaN
03/04/2025 11:00;37.6180191;14.97113609;14.95;73.95;0;0;322.4735;219.8925;NaN
03/04/2025 12:00;37.6180191;14.97113609;15.8;71;0;0;327.8215;86.4345;NaN
03/04/2025 13:00;37.6180191;14.97113609;16.3;71;0;0;520.607;107.184;NaN
03/04/2025 14:00;37.6180191;14.97113609;16.6;68.2;0;0;584.902;40.281;NaN
03/04/2025 15:00;37.6180191;14.97113609;16;61.9;1;0.2;361.686;41.238;NaN
03/04/2025 16:00;37.6180191;14.97113609;14.6;69.6;0;0;170.9885;77.778;NaN
03/04/2025 17:00;37.6180191;14.97113609;11.65;84.2;0;0;15.6655;38.367;NaN
03/04/2025 18:00;37.6180191;14.97113609;10.45;92.35;0;0;0.001;41.412;NaN
03/04/2025 19:00;37.6180191;14.97113609;10.3;90.65;0;0;0;176.6535;NaN
03/04/2025 20:00;37.6180191;14.97113609;8.4;95.5;0;0;0;1.131;NaN
04/04/2025 00:00;37.6180191;14.97113609;6.65;96.55;0;0;0;130.6305;NaN
04/04/2025 01:00;37.6180191;14.97113609;6.7;96.05;0;0;0;19.314;NaN
04/04/2025 02:00;37.6180191;14.97113609;6.5;97.2;0;0;0;184.962;NaN
04/04/2025 03:00;37.6180191;14.97113609;7.1;99.65;0;0;0;181.2645;NaN
04/04/2025 04:00;37.6180191;14.97113609;7.45;99.9;0;0;0.8815;179.1765;NaN
04/04/2025 05:00;37.6180191;14.97113609;7.25;99.9;0;0;50.316;15.0075;NaN
04/04/2025 06:00;37.6180191;14.97113609;11.6;84.55;0;0;231.9785;277.008;NaN
04/04/2025 07:00;37.6180191;14.97113609;13.75;76.15;0;0;569.695;241.686;NaN
04/04/2025 08:00;37.6180191;14.97113609;14.6;75;0;0;717.1535;205.842;NaN
04/04/2025 09:00;37.6180191;14.97113609;15.75;73.55;0;0;957.62;197.8815;NaN
04/04/2025 10:00;37.6180191;14.97113609;16.7;72.1;0;0;1149.5525;210.0615;NaN
04/04/2025 11:00;37.6180191;14.97113609;16.35;70.65;0;0;402.3095;191.574;NaN
04/04/2025 12:00;37.6180191;14.97113609;15.45;77.55;0;0;372.0785;157.5135;NaN
04/04/2025 13:00;37.6180191;14.97113609;16.25;80.8;0;0;556.6325;50.808;NaN
04/04/2025 14:00;37.6180191;14.97113609;15.7;81.8;0;0;272.228;63.075;NaN
04/04/2025 15:00;37.6180191;14.97113609;14;87.1;0;0;59.38;44.022;NaN
04/04/2025 16:00;37.6180191;14.97113609;12.75;88.05;0;0;16.7635;90.567;NaN
04/04/2025 17:00;37.6180191;14.97113609;12.25;93.6;0;0;0.4985;186.702;NaN
04/04/2025 18:00;37.6180191;14.97113609;11.4;99.3;0;0;0;270.8745;NaN
04/04/2025 19:00;37.6180191;14.97113609;10.8;99.9;0;0;0;335.5155;NaN
04/04/2025 20:00;37.6180191;14.97113609;9.9;99.9;0;0;0;15.138;NaN
05/04/2025 00:00;37.6180191;14.97113609;7.7;99.9;0;0;0;177.6975;NaN
05/04/2025 01:00;37.6180191;14.97113609;7.8;99.9;0;0;0;181.308;NaN
05/04/2025 02:00;37.6180191;14.97113609;7.4;99.9;0;0;0;9.744;NaN
05/04/2025 03:00;37.6180191;14.97113609;6.75;99.9;0;0;0;12.267;NaN
05/04/2025 04:00;37.6180191;14.97113609;6.95;99.9;0;0;10.8945;256.911;NaN
05/04/2025 05:00;37.6180191;14.97113609;8.65;99.9;0;0;64.906;341.388;NaN
05/04/2025 06:00;37.6180191;14.97113609;11.7;93.35;0;0;192;159.7755;NaN
05/04/2025 07:00;37.6180191;14.97113609;15;79.7;0;0;192;64.4235;NaN
05/04/2025 08:00;37.6180191;14.97113609;13.05;89.05;0;0;192;249.5595;NaN
05/04/2025 09:00;37.6180191;14.97113609;14.4;84.75;0;0;192;228.5925;NaN
05/04/2025 10:00;37.6180191;14.97113609;15.25;77.75;0;0;192;157.122;NaN
05/04/2025 11:00;37.6180191;14.97113609;15.2;77;0;0;192;173.8695;NaN
05/04/2025 12:00;37.6180191;14.97113609;13.55;82.7;0;0;111.329;117.4935;NaN
05/04/2025 13:00;37.6180191;14.97113609;13.4;80.6;0;0;171.2525;49.851;NaN
05/04/2025 14:00;37.6180191;14.97113609;13.66666667;68.06666667;0;0;177.7753333;27.84;NaN
05/04/2025 15:00;37.6180191;14.97113609;12.3;96.1;0;0;102.3265;79.779;NaN
05/04/2025 16:00;37.6180191;14.97113609;12.1;88.9;0;0;15.6565;173.304;NaN
